"STATION_NUMBER","year","month","monthly_mean"
"08NN015",1972,7,6.337
"08NN015",1972,8,0.717
"08NN015",1972,9,0.65
"08NN015",1972,10,0.856
"08NN015",1972,11,0.581
"08NN015",1972,12,0.391
"08NN015",1973,1,0.289
"08NN015",1973,2,0.235
"08NN015",1973,3,0.229
"08NN015",1973,4,1.018
"08NN015",1973,5,12.453
"08NN015",1973,6,8.841
"08NN015",1973,7,1.208
"08NN015",1973,8,0.208
"08NN015",1973,9,0.282
"08NN015",1973,10,1.293
"08NN015",1973,11,0.844
"08NN015",1973,12,0.507
"08NN015",1974,1,0.31
"08NN015",1974,2,0.31
"08NN015",1974,3,0.656
"08NN015",1974,4,3.008
"08NN015",1974,5,9.965
"08NN015",1974,8,0.637
"08NN015",1974,9,0.304
"08NN015",1974,10,0.208
"08NN015",1974,11,0.184
"08NN015",1974,12,0.179
"08NN015",1975,1,0.194
"08NN015",1975,2,0.191
"08NN015",1975,3,0.325
"08NN015",1975,4,0.676
"08NN015",1975,5,9.672
"08NN015",1975,6,22.071
"08NN015",1975,7,4.405
"08NN015",1975,8,1.031
"08NN015",1975,9,0.756
"08NN015",1975,10,0.461
"08NN015",1975,11,0.706
"08NN015",1975,12,0.518
"08NN015",1976,1,0.436
"08NN015",1976,2,0.439
"08NN015",1976,3,0.27
"08NN015",1976,4,0.737
"08NN015",1976,5,18.253
"08NN015",1976,6,18.928
"08NN015",1976,7,7.644
"08NN015",1976,8,6.224
"08NN015",1976,9,3.519
"08NN015",1976,10,1.368
"08NN015",1976,11,0.681
"08NN015",1976,12,0.354
"08NN015",1977,1,0.214
"08NN015",1977,2,0.19
"08NN015",1977,3,0.222
"08NN015",1977,4,3.126
"08NN015",1977,5,12.461
"08NN015",1977,6,10.552
"08NN015",1977,7,1.281
"08NN015",1977,8,0.355
"08NN015",1977,9,0.381
"08NN015",1977,10,0.376
"08NN015",1977,11,0.299
"08NN015",1977,12,0.257
"08NN015",1978,1,0.201
"08NN015",1978,2,0.216
"08NN015",1978,3,0.524
"08NN015",1978,4,2.695
"08NN015",1978,5,11.964
"08NN015",1978,6,17.288
"08NN015",1978,7,3.917
"08NN015",1978,8,1.027
"08NN015",1978,9,5.613
"08NN015",1978,10,2.248
"08NN015",1978,11,1.09
"08NN015",1978,12,0.79
"08NN015",1979,1,0.296
"08NN015",1979,2,0.354
"08NN015",1979,3,0.436
"08NN015",1979,4,1.337
"08NN015",1979,5,16.204
"08NN015",1979,6,8.581
"08NN015",1979,7,2.148
"08NN015",1979,8,0.386
"08NN015",1979,9,0.571
"08NN015",1979,10,0.442
"08NN015",1979,11,0.251
"08NN015",1979,12,0.164
"08NN015",1980,1,0.154
"08NN015",1980,2,0.299
"08NN015",1980,3,0.953
"08NN015",1980,4,8.166
"08NN015",1980,5,17.516
"08NN015",1980,6,8.082
"08NN015",1980,7,2.612
"08NN015",1980,8,0.8
